name	addr:country	addr:street	addr:housenumber	addr:postcode	addr:city	main_tag	longitude	latitute
Bäckerei Back 2	DE	Einkaufspassage Deminaniplatz	19/20	2826	Görlitz	bakery		
Biolandhof Apfelbacher	DE	Tombergstraße	1	53332	Bornheim	farm		
Kölner Bio-Bauer	DE	Poll-Vingster-Straße	215	51105	Köln	farm		
NeuLand Köln	DE	Koblenzer Straße	15	50968	Köln	community garden		
Wilde Gärtnerei	DE	Bernauer Straße	6	16321	Rüdnitz	farm		
Fördergemeinschaft Ökologischer Landbau / Aktionsbündnis Agrarwende Berlin-Brandenburg	DE	Marienstraße	19-20	10117	Berlin	club		
SpeiseGut	DE	Kladower Damm	57	14089	Berlin-Spandau	farm		
Social Seeds	DE	Gneistraße 	10	10437	Berlin	club		
VERN	DE	Burgstraße	20	16278	Greiffenberg/Uckermark	club		
Moabienen	DE	Siemenstraße	27	10551	Berlin 	beekeeper 		
Markthalle Neun	DE	Eisenbahnstraße	42/43	10997	Berlin 	convenience store		
Gemeinschaftsgarten Allmende-Kontor	DE	Tempelhofer Feld		12049	Berlin	Community garden	52,474522	13,416945
Bauerngarten Berlin Mette	DE	Querweg 	6 1/2	12529	Schönefeld	Community garden		
Bauerngarten Berlin Pankow	DE	Blankenfelder Chaussee	5	13159	Berlin	community garden		
Bauerngarten Berlin Havelmathen	DE	Kladower Damm	57	14089	Berlin Spandau	community garden		
LohmannsHof	DE	Eichenstraße 	24	27313	Westen	farm		
ÖkoMarkt Steintor	DE	Mecklenburger Straße		28203	Bremen	farmers market		
ÖkoMarkt auf dem Ziegenmarkt	DE	Ziegenmarkt		28203	Bremen	farmers market		
Ökomarkt Ostertor	DE	Ulrichsplatz/Wulwestraße		28203	Bremen	farmers market		
Ökomarkt Neustadt	DE	Pappelstraße/Delmestraße		28199	Bremen	farmers market		
Bauernladen Paulskloster	DE	Beim Paulskloster 	28	28203	Bremen 	organic store		
